Designator,Mid X,Mid Y,Rotation,Layer
U1,57.785,-86.36,90.0,top
C3,103.886,-82.55,0.0,top
D23,42.545,-100.965,180.0,top
R4,67.945,-107.95,-90.0,top
D22,33.528,-106.045,-90.0,top
R29,237.998,-96.266,0.0,top
D10,57.785,-104.775,0.0,top
D16,82.55,-104.775,0.0,top
R1,45.085,-107.95,-90.0,top
U12,203.9895,-84.201,0.0,top
P7,79.375,-114.935,90.0,top
P6,165.735,-114.935,90.0,top
P2,133.35,-114.935,90.0,top
Y1,34.417,-99.441,0.0,top
U11,167.64,-108.585,180.0,top
D5,148.59,-106.68,-90.0,top
R26,212.602,-95.885,0.0,top
R37,88.9,-107.95,90.0,top
C8,161.163,-86.233,180.0,top
R13,102.364,-91.059,0.0,top
C12,238.1504,-98.7044,180.0,top
D18,90.17,-104.775,0.0,top
C5,29.972,-80.137,-90.0,top
R43,42.545,-104.775,180.0,top
C1,181.737,-94.234,180.0,top
R12,120.015,-101.6,0.0,top
S1,115.57,-86.995,0.0,top
R19,102.364,-87.249,0.0,top
D6,156.21,-106.68,-90.0,top
D26,50.195,-102.87,0.0,top
P4,62.230004,-114.935,90.0,top
U4,112.395,-108.585,180.0,top
R35,73.66,-101.6,-90.0,top
U8,144.78,-108.585,180.0,top
R36,81.28,-107.95,90.0,top
C10,195.326,-94.488,90.0,top
R30,56.515,-107.95,90.0,top
R11,102.364,-92.329,0.0,top
P3,46.99,-114.935,90.0,top
R3,60.325,-107.95,-90.0,top
IC1,222.885,-89.535,-90.0,top
U6,127.635,-108.585,180.0,top
D9,53.975,-101.6,-90.0,top
R31,64.135,-107.95,90.0,top
D21,38.1,-106.045,-90.0,top
R39,81.28,-101.6,-90.0,top
R20,152.4,-101.6,0.0,top
D13,71.12,-101.6,-90.0,top
R15,102.362,-89.789,0.0,top
D17,86.39,-101.6,-90.0,top
D8,171.45,-106.68,-90.0,top
R28,237.998,-93.98,180.0,top
R18,144.78,-101.6,0.0,top
U7,135.255,-108.585,180.0,top
R22,160.02,-101.6,0.0,top
R21,102.364,-85.979,0.0,top
J4,212.852,-117.602,0.0,top
D12,65.405,-104.775,0.0,top
R40,88.9,-101.6,-90.0,top
D20,97.82,-104.775,0.0,top
J2,242.697,-108.2125,0.0,top
D2,123.825,-106.68,-90.0,top
C7,47.879,-75.819,180.0,top
D11,61.595,-101.6,-90.0,top
D19,93.98,-101.6,-90.0,top
R9,102.362,-93.599,0.0,top
U9,152.4,-108.585,180.0,top
R7,92.71,-107.95,-90.0,top
P5,150.495,-114.935,90.0,top
P8,94.615,-114.935,90.0,top
R5,77.47,-107.95,-90.0,top
R14,127.635,-101.6,0.0,top
R42,41.275,-107.95,90.0,top
R10,112.395,-101.6,0.0,top
J3,230.632,-117.622,0.0,top
R17,102.362,-88.519,0.0,top
R23,102.364,-84.709,0.0,top
D14,74.93,-104.775,0.0,top
U13,203.9895,-93.345,180.0,top
U5,120.015,-108.585,180.0,top
R38,96.52,-107.95,90.0,top
R41,96.52,-101.6,-90.0,top
R16,135.255,-101.6,0.0,top
D15,78.74,-101.6,-90.0,top
D1,116.205,-106.68,-90.0,top
U10,160.02,-108.585,180.0,top
R2,52.705,-107.95,-90.0,top
R32,73.66,-107.95,90.0,top
D7,163.83,-106.68,-90.0,top
U14,231.14,-95.885,0.0,top
R25,195.0995,-81.915,180.0,top
C9,39.751,-75.819,0.0,top
R8,100.33,-107.95,-90.0,top
R33,56.515,-101.6,-90.0,top
D25,50.165,-100.965,180.0,top
C11,222.885,-83.185,0.0,top
C2,29.718,-99.695,-90.0,top
D24,42.545,-102.87,0.0,top
R27,219.71,-97.155,-90.0,top
R6,85.09,-107.95,-90.0,top
C6,103.886,-80.01,0.0,top
C4,161.163,-96.139,180.0,top
D3,131.445,-106.68,-90.0,top
P1,118.11,-114.935,90.0,top
R44,48.895,-107.95,90.0,top
R24,167.64,-101.6,0.0,top
R45,50.165,-104.775,180.0,top
U3,94.996,-87.884,0.0,top
D4,139.065,-106.68,-90.0,top
J1,182.113,-105.537,0.0,top
U2,158.496,-91.186,180.0,top
R34,64.135,-101.6,-90.0,top
